id,text,breaking_zero,breaking_instruct,breaking_fewshot,funny_zero,funny_instruct,breaking_zero_style,breaking_instruct_style,breaking_fewshot_style,funny_zero_style,funny_instruct_style,funny_fewshot,policy_zero,policy_instruct,policy_fewshot,funny_fewshot_style,policy_zero_style,policy_instruct_style,policy_fewshot_style,breaking_zero_entity,breaking_instruct_entity,breaking_fewshot_entity,funny_zero_entity,funny_instruct_entity,funny_fewshot_entity,policy_zero_entity,policy_instruct_entity,policy_fewshot_entity
1,"Scientists discovered a new planet that may support life, located 100 light-years away.","Scientists have discovered a new planet that may support life, located 100 light-years away.","Scientists have discovered a new planet that may support life, located 100 light-years away.","BREAKING: Scientists have discovered a new planet that may support life, located 100 light-years away.","a new planet that may support life, 100 light-years away.","Scientists have discovered a new planet that may support life, located 100 light-years away.",0.33,0.33,1.36,0.2,0.33,"BREAKING: Scientists discovered a new planet that may support life, located 100 light-years away.","Scientists have discovered a new planet that may support life, located 100 light-years away.","Scientists have discovered a new planet that may support life, located 100 light-years away.","BREAKING: Scientists discovered a new planet that may support life, located 100 light-years away.",1.35,0.33,0.33,1.35,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,Paris announced a ban on gas-powered cars by 2030 to combat air pollution.,Paris announced a ban on gas-powered cars by 2030 to combat air pollution.,Paris announced a ban on gas-powered cars by 2030 to combat air pollution.,BREAKING: Paris announced a ban on gas-powered cars by 2030 to combat air pollution.,Paris announced a ban on gas-powered cars by 2030 to combat air pollution.,Paris announced a ban on gas-powered cars by 2030 to combat air pollution.,0.26,0.26,1.3,0.26,0.26,Paris announced a ban on gas-powered cars by 2030 to combat air pollution.,Paris announced a ban on gas-powered cars by 2030 to combat air pollution.,Paris announced a ban on gas-powered cars by 2030 to combat air pollution.,Paris has announced a ban on gas-powered cars by 2030 to combat air pollution.,0.26,0.26,0.26,0.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,NASA launched a telescope to find Earth-like planets in distant galaxies.,NASA launched a telescope to find Earth-like planets in distant galaxies.,NASA launched a telescope to find Earth-like planets in distant galaxies.,BREAKING: NASA launched a telescope to find Earth-like planets in distant galaxies.,NASA launched a telescope to find Earth-like planets in distant galaxies.,NASA launched a telescope to find Earth-like planets in distant galaxies.,1.26,1.26,1.3,1.26,1.26,NASA launched a telescope to find Earth-like planets in distant galaxies.,NASA launched a telescope to find Earth-like planets in distant galaxies.,NASA launched a telescope to find Earth-like planets in distant galaxies.,NASA launched a telescope to find Earth-like planets in distant galaxies.,1.26,1.26,1.26,1.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,A new study shows daily meditation reduces stress in adults after eight weeks.,a new study shows daily meditation reduces stress in adults after eight weeks.,A new study shows meditation reduces stress in adults after eight weeks.,BREAKING: A new study shows daily meditation reduces stress in adults after eight weeks.,a new study shows daily meditation reduces stress in adults after eight weeks.,A new study shows daily meditation reduces stress in adults after eight weeks.,0.28,0.26,1.31,0.28,0.28,BREAKING: A new study shows daily meditation reduces stress in adults after eight weeks.,A new study shows daily meditation reduces stress in adults after eight weeks. A new study shows daily meditation reduces stress in adults after eight weeks. A new study shows daily meditation reduces stress in adults after eight weeks. A new study shows daily meditation reduces stress in adults after eight weeks. A new study shows daily meditation reduces stress in adults after eight weeks. A new study shows daily meditation reduces stress in adults after eight weeks. A new study shows daily meditation reduces stress in,A new study shows meditation reduces stress in adults after eight weeks.,A new study shows daily meditation reduces stress in adults after eight weeks.,1.31,1.0,0.26,0.28,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0
5,WHO declared the eradication of a rare viral disease in Southeast Asia.,WHO declares the eradication of a rare viral disease in Southeast Asia.,WHO declared the eradication of a rare viral disease in Southeast Asia.,WHO declared the eradication of a rare viral disease in Southeast Asia.,WHO declared the eradication of a rare viral disease in Southeast Asia.,WHO declared the eradication of a rare viral disease in Southeast Asia.,0.25,0.25,0.25,0.25,0.25,WHO declared the eradication of a rare viral disease in Southeast Asia.,WHO declares the eradication of a rare viral disease in Southeast Asia.,WHO has declared the eradication of a rare viral disease in Southeast Asia.,WHO declared the eradication of a rare viral disease in Southeast Asia.,0.25,0.25,0.27,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Electric car sales rose by 40% globally compared to last year.,Electric car sales have risen by 40% globally compared to last year.,Electric car sales rose by 40% globally compared to last year.,BREAKING: Electric car sales rose by 40% globally compared to last year.,electric car sales rose by 40% globally compared to last year.,Electric car sales rose by 40% globally compared to last year.,0.24,0.22,1.26,0.22,0.22,Electric car sales rose by 40% globally compared to last year.,Electric car sales rose by 40% globally compared to last year.,Electric car sales rose by 40% globally compared to last year.,Electric car sales rose by 40% globally compared to last year.,0.22,0.22,0.22,0.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,The UN held emergency talks on rising ocean temperatures and coral bleaching.,UN held emergency talks on rising ocean temperatures and coral bleaching,The UN has held emergency talks on rising ocean temperatures and coral bleaching.,BREAKING: The UN held emergency talks on rising ocean temperatures and coral bleaching.,UN holds emergency talks on rising ocean temperatures and coral bleaching,The UN held emergency talks on rising ocean temperatures and coral bleaching.,0.26,0.29,1.31,0.26,0.28,The UN held emergency talks on rising ocean temperatures and coral bleaching.,The UN held emergency talks on rising ocean temperatures and coral bleaching.,The United Nations held emergency talks on rising ocean temperatures and coral bleaching.,UN chief Ban Ki-moon held emergency talks on rising ocean temperatures and coral bleaching.,0.28,0.28,0.32,0.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
8,A volcano eruption in Iceland disrupted flights and forced evacuations.,volcanic eruption in Iceland disrupted flights and forced evacuations,"Iceland's volcano erupted on Friday, disrupting flights and forcing evacuations.","BREAKING: Iceland's volcano eruption caused flights to be disrupted, forcing evacuations.",a volcano eruption in Iceland disrupted flights and forced evacuations.,A volcano eruption in Iceland disrupted flights and forced evacuations.,0.25,0.29,1.32,0.25,0.25,A volcano eruption in Iceland disrupted flights and forced evacuations.,A volcano eruption in Iceland disrupted flights and forced evacuations.,A volcano eruption in Iceland disrupted flights and forced evacuations.,"Iceland's volcano erupted last week, forcing flights to be evacuated.",0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,U.S. and China resumed economic talks amid ongoing trade tensions.,U.S. and China resume economic talks amid ongoing trade tensions.,U.S. and China resumed economic talks Friday amid ongoing trade tensions.,BREAKING: U.S. and China resume economic talks amid ongoing trade tensions.,U.S. and China resume economic talks amid ongoing trade tensions.,U.S. and China resumed economic talks amid ongoing trade tensions.,0.23,0.26,1.27,0.23,0.24,U.S. and China resume economic talks amid ongoing trade tensions.,U.S. & China resume economic talks amid ongoing trade tensions.,U.S. and China resumed economic talks amid ongoing trade tensions.,U.S. and China resume economic talks amid ongoing trade tensions.,0.23,0.22,0.24,0.23,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
10,An earthquake in Japan caused structural damage but no reported casualties.,a big earthquake in Japan caused structural damage but no reported casualties.,An earthquake in Japan caused structural damage but no reported casualties.,BREAKING: The earthquake in Japan caused structural damage but no reported casualties.,i haven't seen a quake in over a year and i'm not sure if i'll ever see a quake again. i'm not sure if i'll ever see a quake again. i'm not sure if i'll ever see a quake again. i'm not sure if i'll ever see a quake,An earthquake in Japan caused structural damage but no reported casualties.,0.28,0.27,1.31,0.76,0.27,"Japan's quake caused structural damage, but no reported casualties.",quake in Japan caused structural damage but no reported casualties,An earthquake in Japan caused structural damage but no reported casualties.,"Japan's quake caused structural damage, but no reported casualties.",0.24,0.24,0.27,0.24,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
